,country,beer_servings,spirit_servings
0,Afghanistan,0,0
1,Albania,89,132
2,Algeria,25,0
3,Andorra,245,138
4,Angola,217,57
5,Antigua & Barbuda,102,128
6,Argentina,193,25
7,Armenia,21,179
8,Australia,261,72
9,Austria,279,75
10,Azerbaijan,21,46
11,Bahamas,122,176
12,Bahrain,42,63
13,Bangladesh,0,0
14,Barbados,143,173
15,Belarus,142,373
16,Belgium,295,84
17,Belize,263,114
18,Benin,34,4
19,Bhutan,23,0
20,Bolivia,167,41
21,Bosnia-Herzegovina,76,173
22,Botswana,173,35
23,Brazil,245,145
24,Brunei,31,2
25,Bulgaria,231,252
26,Burkina Faso,25,7
27,Burundi,88,0
28,Cote d'Ivoire,37,1
29,Cabo Verde,144,56
30,Cambodia,57,65
31,Cameroon,147,1
32,Canada,240,122
33,Central African Republic,17,2
34,Chad,15,1
35,Chile,130,124
36,China,79,192
37,Colombia,159,76
38,Comoros,1,3
39,Congo,76,1
40,Cook Islands,0,254
41,Costa Rica,149,87
42,Croatia,230,87
43,Cuba,93,137
44,Cyprus,192,154
45,Czech Republic,361,170
46,North Korea,0,0
47,DR Congo,32,3
48,Denmark,224,81
49,Djibouti,15,44
50,Dominica,52,286
51,Dominican Republic,193,147
52,Ecuador,162,74
53,Egypt,6,4
54,El Salvador,52,69
55,Equatorial Guinea,92,0
56,Eritrea,18,0
57,Estonia,224,194
58,Ethiopia,20,3
59,Fiji,77,35
60,Finland,263,133
61,France,127,151
62,Gabon,347,98
63,Gambia,8,0
64,Georgia,52,100
65,Germany,346,117
66,Ghana,31,3
67,Greece,133,112
68,Grenada,199,438
69,Guatemala,53,69
70,Guinea,9,0
71,Guinea-Bissau,28,31
72,Guyana,93,302
73,Haiti,1,326
74,Honduras,69,98
75,Hungary,234,215
76,Iceland,233,61
77,India,9,114
78,Indonesia,5,1
79,Iran,0,0
80,Iraq,9,3
81,Ireland,313,118
82,Israel,63,69
83,Italy,85,42
84,Jamaica,82,97
85,Japan,77,202
86,Jordan,6,21
87,Kazakhstan,124,246
88,Kenya,58,22
89,Kiribati,21,34
90,Kuwait,0,0
91,Kyrgyzstan,31,97
92,Laos,62,0
93,Latvia,281,216
94,Lebanon,20,55
95,Lesotho,82,29
96,Liberia,19,152
97,Libya,0,0
98,Lithuania,343,244
99,Luxembourg,236,133
100,Madagascar,26,15
101,Malawi,8,11
102,Malaysia,13,4
103,Maldives,0,0
104,Mali,5,1
105,Malta,149,100
106,Marshall Islands,0,0
107,Mauritania,0,0
108,Mauritius,98,31
109,Mexico,238,68
110,Micronesia,62,50
111,Monaco,0,0
112,Mongolia,77,189
113,Montenegro,31,114
114,Morocco,12,6
115,Mozambique,47,18
116,Myanmar,5,1
117,Namibia,376,3
118,Nauru,49,0
119,Nepal,5,6
120,Netherlands,251,88
121,New Zealand,203,79
122,Nicaragua,78,118
123,Niger,3,2
124,Nigeria,42,5
125,Niue,188,200
126,Norway,169,71
127,Oman,22,16
128,Pakistan,0,0
129,Palau,306,63
130,Panama,285,104
131,Papua New Guinea,44,39
132,Paraguay,213,117
133,Peru,163,160
134,Philippines,71,186
135,Poland,343,215
136,Portugal,194,67
137,Qatar,1,42
138,South Korea,140,16
139,Moldova,109,226
140,Romania,297,122
141,Russian Federation,247,326
142,Rwanda,43,2
143,St. Kitts & Nevis,194,205
144,St. Lucia,171,315
145,St. Vincent & the Grenadines,120,221
146,Samoa,105,18
147,San Marino,0,0
148,Sao Tome & Principe,56,38
149,Saudi Arabia,0,5
150,Senegal,9,1
151,Serbia,283,131
152,Seychelles,157,25
153,Sierra Leone,25,3
154,Singapore,60,12
155,Slovakia,196,293
156,Slovenia,270,51
157,Solomon Islands,56,11
158,Somalia,0,0
159,South Africa,225,76
160,Spain,284,157
161,Sri Lanka,16,104
162,Sudan,8,13
163,Suriname,128,178
164,Swaziland,90,2
165,Sweden,152,60
166,Switzerland,185,100
167,Syria,5,35
168,Tajikistan,2,15
169,Thailand,99,258
170,Macedonia,106,27
171,Timor-Leste,1,1
172,Togo,36,2
173,Tonga,36,21
174,Trinidad & Tobago,197,156
175,Tunisia,51,3
176,Turkey,51,22
177,Turkmenistan,19,71
178,Tuvalu,6,41
179,Uganda,45,9
180,Ukraine,206,237
181,United Arab Emirates,16,135
182,United Kingdom,219,126
183,Tanzania,36,6
184,USA,249,158
185,Uruguay,115,35
186,Uzbekistan,25,101
187,Vanuatu,21,18
188,Venezuela,333,100
189,Vietnam,111,2
190,Yemen,6,0
191,Zambia,32,19
192,Zimbabwe,64,18
