,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,42,205,382,140,561,266.0
1,ProductCD,0,0,7,7,1,3.0
2,card1,22,250,447,237,816,354.4
3,card2,34,175,370,156,662,279.4
4,card3,14,1,5,10,6,7.2
5,card4,0,3,8,1,41,10.6
6,card5,1,82,108,51,166,81.6
7,card6,4,106,163,123,245,128.2
8,addr1,9,184,242,80,458,194.6
9,addr2,0,0,1,1,0,0.4
10,dist1,19,129,130,79,391,149.6
11,dist2,0,0,0,1,34,7.0
12,P_emaildomain,6,43,43,40,171,60.6
13,R_emaildomain,9,46,23,18,88,36.8
14,C1,27,133,196,155,422,186.6
15,C2,7,98,150,74,208,107.4
16,C3,0,0,0,0,0,0.0
17,C4,0,0,18,19,29,13.2
18,C5,2,92,128,99,245,113.2
19,C6,1,62,97,42,239,88.2
20,C7,0,0,0,5,7,2.4
21,C8,0,32,14,17,16,15.8
22,C9,5,32,34,18,100,37.8
23,C10,0,5,10,10,12,7.4
24,C11,2,64,196,78,222,112.4
25,C12,0,0,4,3,25,6.4
26,C13,10,109,243,138,479,195.8
27,C14,5,37,92,45,177,71.2
28,D1,7,103,141,69,304,124.8
29,D2,12,284,371,178,647,298.4
30,D3,20,276,294,89,474,230.6
31,D4,38,222,308,45,407,204.0
32,D5,55,122,95,70,163,101.0
33,D6,4,4,4,1,4,3.4
34,D7,0,0,0,1,0,0.2
35,D8,1,65,77,32,167,68.4
36,D9,0,2,1,9,35,9.4
37,D10,63,305,404,177,804,350.6
38,D11,5,72,90,22,95,56.8
39,D12,2,10,0,0,4,3.2
40,D13,5,27,5,3,2,8.4
41,D14,2,0,35,3,15,11.0
42,D15,12,141,143,45,219,112.0
43,M1,0,4,27,5,15,10.2
44,M2,0,7,21,4,21,10.6
45,M3,0,8,21,4,36,13.8
46,M4,15,70,137,72,254,109.6
47,M5,25,9,82,41,134,58.2
48,M6,3,78,73,16,98,53.6
49,M7,0,9,47,1,38,19.0
50,M8,0,17,15,0,21,10.6
51,M9,0,7,9,1,11,5.6
52,V1,0,0,1,0,1,0.4
53,V2,0,1,1,0,1,0.6
54,V3,0,0,1,3,7,2.2
55,V4,0,2,3,2,8,3.0
56,V5,0,13,11,1,14,7.8
57,V6,0,0,2,0,2,0.8
58,V7,0,0,1,1,2,0.8
59,V8,0,0,0,0,0,0.0
60,V9,0,0,0,1,0,0.2
61,V10,1,5,6,6,14,6.4
62,V11,0,5,4,5,11,5.0
63,V12,0,27,35,15,55,26.4
64,V13,0,34,15,10,47,21.2
65,V14,0,0,0,0,0,0.0
66,V15,0,1,0,1,5,1.4
67,V16,0,0,1,1,2,0.8
68,V17,1,2,1,0,1,1.0
69,V18,0,0,0,0,0,0.0
70,V19,3,19,34,7,40,20.6
71,V20,0,13,14,11,38,15.2
72,V21,0,0,0,0,0,0.0
73,V22,0,0,1,0,0,0.2
74,V23,0,0,1,0,2,0.6
75,V24,0,5,0,1,2,1.6
76,V25,0,9,11,2,23,9.0
77,V26,0,9,14,3,17,8.6
78,V27,0,0,0,0,1,0.2
79,V28,0,0,0,1,0,0.2
80,V29,1,32,23,7,15,15.6
81,V30,39,71,29,3,13,31.0
82,V31,0,0,1,0,2,0.6
83,V32,0,0,0,1,1,0.4
84,V33,0,0,1,0,0,0.2
85,V34,0,0,0,0,0,0.0
86,V35,1,4,2,0,17,4.8
87,V36,2,2,1,0,10,3.0
88,V37,7,4,3,0,5,3.8
89,V38,0,3,8,1,16,5.6
90,V39,0,4,5,1,3,2.6
91,V40,2,9,7,2,16,7.2
92,V41,0,0,0,0,1,0.2
93,V42,0,3,1,1,0,1.0
94,V43,0,7,12,3,5,5.4
95,V44,0,1,2,0,5,1.6
96,V45,0,0,4,2,16,4.4
97,V46,0,0,2,0,1,0.6
98,V47,0,4,9,3,29,9.0
99,V48,8,14,26,1,8,11.4
100,V49,5,16,16,2,16,11.0
101,V50,0,0,1,0,5,1.2
102,V51,0,7,1,4,28,8.0
103,V52,0,4,1,1,24,6.0
104,V53,0,7,8,6,61,16.4
105,V54,0,18,19,7,72,23.2
106,V55,1,0,1,0,4,1.2
107,V56,0,2,8,2,12,4.8
108,V57,0,1,6,1,3,2.2
109,V58,0,3,4,0,3,2.0
110,V59,0,0,0,1,1,0.4
111,V60,1,3,10,2,23,7.8
112,V61,5,15,19,12,51,20.4
113,V62,7,20,13,14,38,18.4
114,V63,0,0,2,1,0,0.6
115,V64,0,0,2,0,1,0.6
116,V65,0,0,0,0,0,0.0
117,V66,0,23,20,8,24,15.0
118,V67,0,7,14,8,28,11.4
119,V68,0,0,0,0,0,0.0
120,V69,40,35,19,0,21,23.0
121,V70,21,38,11,5,24,19.8
122,V71,0,0,3,3,2,1.6
123,V72,0,0,1,0,2,0.6
124,V73,0,0,2,0,2,0.8
125,V74,0,0,2,0,2,0.8
126,V75,14,5,10,5,27,12.2
127,V76,0,6,8,4,13,6.2
128,V77,0,6,15,0,0,4.2
129,V78,0,4,3,1,17,5.0
130,V79,0,2,4,1,1,1.6
131,V80,0,10,2,2,1,3.0
132,V81,0,4,2,3,7,3.2
133,V82,0,22,21,4,23,14.0
134,V83,19,84,90,35,74,60.4
135,V84,0,0,3,0,1,0.8
136,V85,0,2,9,1,2,2.8
137,V86,0,2,1,2,3,1.6
138,V87,0,10,22,9,31,14.4
139,V88,0,0,0,0,0,0.0
140,V89,0,0,0,0,0,0.0
141,V90,8,18,3,1,10,8.0
142,V91,44,12,5,0,11,14.4
143,V92,0,1,2,0,2,1.0
144,V93,0,0,0,0,5,1.0
145,V94,0,1,0,1,1,0.6
146,V95,0,3,5,1,5,2.8
147,V96,2,1,3,1,6,2.6
148,V97,1,2,0,1,2,1.2
149,V98,0,0,0,0,2,0.4
150,V99,0,4,3,0,1,1.6
151,V100,0,4,2,4,3,2.6
152,V101,0,1,0,3,7,2.2
153,V102,13,0,0,2,2,3.4
154,V103,0,0,0,1,8,1.8
155,V104,0,0,0,0,1,0.2
156,V105,0,0,0,0,0,0.0
157,V106,0,0,0,0,0,0.0
158,V107,0,0,0,0,0,0.0
159,V108,0,0,0,0,0,0.0
160,V109,0,0,0,0,0,0.0
161,V110,0,0,0,0,0,0.0
162,V111,0,0,0,0,0,0.0
163,V112,0,0,0,0,0,0.0
164,V113,0,0,0,0,0,0.0
165,V114,0,0,0,0,0,0.0
166,V115,0,0,0,0,0,0.0
167,V116,0,0,0,0,0,0.0
168,V117,0,0,0,0,0,0.0
169,V118,0,0,0,0,0,0.0
